seed,width,query,family,model_query_id,select_rate,reference_rate,reference_ci_half_width,uses_concept,build_n
20260521,1,0,concept_confusion,cifar10/w1/20260521/0,0.004375,0.0039,0.0012216304377347512,True,6000
20260521,1,1,basis_class_error,cifar10/w1/20260521/1,0.019,0.0192,0.002689657089221598,True,6000
20260521,1,2,concept_class_error,cifar10/w1/20260521/2,0.004,0.0045,0.0013118463172185986,True,6000
20260521,1,3,concept_class_error,cifar10/w1/20260521/3,0.0125,0.013,0.002220170479940673,True,6000
20260521,1,4,basis_class_error,cifar10/w1/20260521/4,0.020625,0.0204,0.0027707385250867684,True,6000
20260521,1,5,basis_confusion,cifar10/w1/20260521/5,0.00475,0.0043,0.0012824916692127089,True,6000
20260521,1,6,concept_class_error,cifar10/w1/20260521/6,0.003625,0.0035,0.0011575206434444269,True,6000
20260521,1,7,concept_confusion,cifar10/w1/20260521/7,0.001125,0.0013,0.0007062285533734812,True,6000
20260521,1,8,basis_class_error,cifar10/w1/20260521/8,0.038625,0.0394,0.003813076104984006,True,6000
20260521,1,9,basis_class_error,cifar10/w1/20260521/9,0.024125,0.0254,0.0030837994964653588,True,6000
20260521,1,10,random_basis_dnf,cifar10/w1/20260521/10,0.00325,0.0034,0.001140922043962689,True,6000
20260521,1,11,concept_class_error,cifar10/w1/20260521/11,0.003,0.0038,0.001205927331807352,True,6000
