family,budget,method,cells,model_queries,mean_reference_rate,rmse,mc_rmse,rmse_ratio_vs_mc,effective_mc_multiplier
basis_class_error,512,sparse_internal,12,4,0.026099999999999998,0.004218046745629016,0.0083414956282674,0.5056703178426456,3.9107952247885307
basis_class_error,512,output_active,12,4,0.026099999999999998,0.004513124185963846,0.0083414956282674,0.5410449620892819,3.416121313903081
basis_class_error,512,output_comp,12,4,0.026099999999999998,0.005237710200052058,0.0083414956282674,0.6279102014155193,2.5363251148738826
basis_class_error,512,ase_output,12,4,0.026099999999999998,0.0062959948874758325,0.0083414956282674,0.7547800979647056,1.755331391685513
basis_class_error,512,random_stratified,12,4,0.026099999999999998,0.006965295864801154,0.0083414956282674,0.8350176245609212,1.4341966894751836
basis_class_error,512,input_concept_comp,12,4,0.026099999999999998,0.008137234854447993,0.0083414956282674,0.9755126918574153,1.0508340863432197
basis_class_error,512,mc,12,4,0.026099999999999998,0.0083414956282674,0.0083414956282674,1.0,1.0
basis_confusion,512,output_comp,3,1,0.0043,0.0003966814060126302,0.002650577890015999,0.14965846033305433,44.64753168110253
basis_confusion,512,output_active,3,1,0.0043,0.000641167278470981,0.002650577890015999,0.241897165477039,17.089857491114024
basis_confusion,512,sparse_internal,3,1,0.0043,0.0021793967287850094,0.002650577890015999,0.8222345538285066,1.4791375163428397
basis_confusion,512,ase_output,3,1,0.0043,0.002276971779211179,0.002650577890015999,0.8590472997559921,1.3550828407393898
basis_confusion,512,mc,3,1,0.0043,0.002650577890015999,0.002650577890015999,1.0,1.0
basis_confusion,512,random_stratified,3,1,0.0043,0.005954067630722394,0.002650577890015999,2.2463281132577677,0.19817716672124364
basis_confusion,512,input_concept_comp,3,1,0.0043,0.007390874761804364,0.002650577890015999,2.788401272659734,0.1286143583606253
concept_class_error,512,input_concept_comp,12,4,0.0062,0.0015272276245825135,0.0038465376705267363,0.39703956009181063,6.343551032061098
concept_class_error,512,output_comp,12,4,0.0062,0.0019428327040646079,0.0038465376705267363,0.5050860983245123,3.919847480517823
concept_class_error,512,sparse_internal,12,4,0.0062,0.0027014002682167445,0.0038465376705267363,0.7022939847737981,2.0275057880672
concept_class_error,512,random_stratified,12,4,0.0062,0.003018921287972109,0.0038465376705267363,0.7848412121643683,1.6234405903313112
concept_class_error,512,output_active,12,4,0.0062,0.0030691269570242664,0.0038465376705267363,0.7978933835851365,1.570761588526235
concept_class_error,512,mc,12,4,0.0062,0.0038465376705267363,0.0038465376705267363,1.0,1.0
concept_class_error,512,ase_output,12,4,0.0062,0.004143041991714717,0.0038465376705267363,1.0770834310189865,0.8619881783684673
concept_confusion,512,input_concept_comp,6,2,0.0026,0.000437218134312387,0.002158637717838498,0.20254354433785457,24.376041972734292
concept_confusion,512,output_active,6,2,0.0026,0.0007016831482852208,0.002158637717838498,0.3250583191828201,9.464058786253815
concept_confusion,512,output_comp,6,2,0.0026,0.000723224176573186,0.002158637717838498,0.33503731107662194,8.908685983624832
