seed,width,query,family,model_query_id,method,reference_rate,select_rate,uses_concept,auroc,average_precision,top_decile_rate,top_decile_lift
20260521,1,0,concept_confusion,cifar10/w1/20260521/0,sparse_internal,0.0039,0.004375,True,0.903578448698154,0.05295107381504675,0.023333333333333334,5.185185185185186
20260521,1,0,concept_confusion,cifar10/w1/20260521/0,output_comp,0.0039,0.004375,True,0.9822534739661811,0.19073613403044068,0.045,10.0
20260521,1,0,concept_confusion,cifar10/w1/20260521/0,input_concept_comp,0.0039,0.004375,True,0.9105418829175735,0.02681700558969872,0.03,6.666666666666667
20260521,1,0,concept_confusion,cifar10/w1/20260521/0,output_active,0.0039,0.004375,True,0.9330939846593622,0.031036022667205034,0.041666666666666664,9.25925925925926
20260521,1,1,basis_class_error,cifar10/w1/20260521/1,sparse_internal,0.0192,0.019,True,0.8588022843031332,0.06997860720209989,0.07,3.8181818181818183
20260521,1,1,basis_class_error,cifar10/w1/20260521/1,output_comp,0.0192,0.019,True,0.8473051396820497,0.10465163154337628,0.06833333333333333,3.727272727272727
20260521,1,1,basis_class_error,cifar10/w1/20260521/1,input_concept_comp,0.0192,0.019,True,0.7469609507640068,0.04645943658203417,0.055,3.0
20260521,1,1,basis_class_error,cifar10/w1/20260521/1,output_active,0.0192,0.019,True,0.5469624942120698,0.01922599336405796,0.015,0.8181818181818181
20260521,1,2,concept_class_error,cifar10/w1/20260521/2,sparse_internal,0.0045,0.004,True,0.8809822186545314,0.08987646141691545,0.02,4.137931034482759
20260521,1,2,concept_class_error,cifar10/w1/20260521/2,output_comp,0.0045,0.004,True,0.8648583094150463,0.01877757614535656,0.02,4.137931034482759
20260521,1,2,concept_class_error,cifar10/w1/20260521/2,input_concept_comp,0.0045,0.004,True,0.9122136302473449,0.03859897509256473,0.03166666666666667,6.551724137931035
20260521,1,2,concept_class_error,cifar10/w1/20260521/2,output_active,0.0045,0.004,True,0.6086891238688141,0.007584908697247844,0.005,1.0344827586206897
20260521,1,3,concept_class_error,cifar10/w1/20260521/3,sparse_internal,0.013,0.0125,True,0.8503504972600429,0.07956527705291638,0.051666666666666666,4.2465753424657535
20260521,1,3,concept_class_error,cifar10/w1/20260521/3,output_comp,0.013,0.0125,True,0.8641878008925951,0.05530353413051014,0.07166666666666667,5.89041095890411
20260521,1,3,concept_class_error,cifar10/w1/20260521/3,input_concept_comp,0.013,0.0125,True,0.9257565216989353,0.09581131442008813,0.085,6.986301369863015
20260521,1,3,concept_class_error,cifar10/w1/20260521/3,output_active,0.013,0.0125,True,0.7347545825812222,0.026772549612926584,0.028333333333333332,2.328767123287671
20260521,1,4,basis_class_error,cifar10/w1/20260521/4,sparse_internal,0.0204,0.020625,True,0.8075450189139397,0.0650926387117377,0.06833333333333333,3.7614678899082565
20260521,1,4,basis_class_error,cifar10/w1/20260521/4,output_comp,0.0204,0.020625,True,0.8195427950270899,0.07332963165429102,0.043333333333333335,2.385321100917431
20260521,1,4,basis_class_error,cifar10/w1/20260521/4,input_concept_comp,0.0204,0.020625,True,0.7199973836625299,0.04097819057098802,0.04833333333333333,2.660550458715596
20260521,1,4,basis_class_error,cifar10/w1/20260521/4,output_active,0.0204,0.020625,True,0.6909661604780423,0.03539585915429894,0.03,1.6513761467889907
20260521,1,5,basis_confusion,cifar10/w1/20260521/5,sparse_internal,0.0043,0.00475,True,0.9202233389168062,0.17387277807990323,0.03333333333333333,6.666666666666666
20260521,1,5,basis_confusion,cifar10/w1/20260521/5,output_comp,0.0043,0.00475,True,0.9837465103294248,0.27193822249907407,0.05,10.0
20260521,1,5,basis_confusion,cifar10/w1/20260521/5,input_concept_comp,0.0043,0.00475,True,0.7009436069235064,0.012490065742254797,0.01,2.0
20260521,1,5,basis_confusion,cifar10/w1/20260521/5,output_active,0.0043,0.00475,True,0.9410887772194304,0.0391576874307547,0.043333333333333335,8.666666666666666
20260521,1,6,concept_class_error,cifar10/w1/20260521/6,sparse_internal,0.0035,0.003625,True,0.7738513368217332,0.009113310110326827,0.01,2.857142857142857
20260521,1,6,concept_class_error,cifar10/w1/20260521/6,output_comp,0.0035,0.003625,True,0.7473379048893349,0.007736703769301062,0.006666666666666667,1.9047619047619049
20260521,1,6,concept_class_error,cifar10/w1/20260521/6,input_concept_comp,0.0035,0.003625,True,0.8885065984915457,0.019256183269289812,0.02,5.714285714285714
20260521,1,6,concept_class_error,cifar10/w1/20260521/6,output_active,0.0035,0.003625,True,0.7325958314417923,0.010034512286811651,0.006666666666666667,1.9047619047619049
20260521,1,7,concept_confusion,cifar10/w1/20260521/7,sparse_internal,0.0013,0.001125,True,0.8769324880435991,0.006277163598122433,0.008333333333333333,8.333333333333334
20260521,1,7,concept_confusion,cifar10/w1/20260521/7,output_comp,0.0013,0.001125,True,0.9921032143254366,0.07942550088239392,0.01,10.0
20260521,1,7,concept_confusion,cifar10/w1/20260521/7,input_concept_comp,0.0013,0.001125,True,0.9049605160716271,0.00894290370540579,0.006666666666666667,6.666666666666667
20260521,1,7,concept_confusion,cifar10/w1/20260521/7,output_active,0.0013,0.001125,True,0.9141363585808031,0.006347131083659032,0.008333333333333333,8.333333333333334
20260521,1,8,basis_class_error,cifar10/w1/20260521/8,sparse_internal,0.0394,0.038625,True,0.8401004136552014,0.16460399291753947,0.14833333333333334,3.9910313901345296
20260521,1,8,basis_class_error,cifar10/w1/20260521/8,output_comp,0.0394,0.038625,True,0.8468536511339618,0.1498664017851363,0.19333333333333333,5.201793721973094
20260521,1,8,basis_class_error,cifar10/w1/20260521/8,input_concept_comp,0.0394,0.038625,True,0.6842217204299406,0.08116667792359394,0.10833333333333334,2.914798206278027
20260521,1,8,basis_class_error,cifar10/w1/20260521/8,output_active,0.0394,0.038625,True,0.7452834069850209,0.0898146567655338,0.10333333333333333,2.780269058295964
20260521,1,9,basis_class_error,cifar10/w1/20260521/9,sparse_internal,0.0254,0.024125,True,0.882982279052662,0.18461519017407618,0.14333333333333334,5.620915032679739
20260521,1,9,basis_class_error,cifar10/w1/20260521/9,output_comp,0.0254,0.024125,True,0.8679597715604114,0.1273141906619813,0.12833333333333333,5.032679738562091
20260521,1,9,basis_class_error,cifar10/w1/20260521/9,input_concept_comp,0.0254,0.024125,True,0.7353785137565658,0.06780034210644398,0.08166666666666667,3.2026143790849675
20260521,1,9,basis_class_error,cifar10/w1/20260521/9,output_active,0.0254,0.024125,True,0.7016502513439101,0.04927972664689036,0.051666666666666666,2.026143790849673
20260521,1,10,random_basis_dnf,cifar10/w1/20260521/10,sparse_internal,0.0034,0.00325,True,0.8844119850732154,0.02628013487871017,0.023333333333333334,6.086956521739131
20260521,1,10,random_basis_dnf,cifar10/w1/20260521/10,output_comp,0.0034,0.00325,True,0.9828982112591019,0.20284275265348875,0.03833333333333333,10.0
20260521,1,10,random_basis_dnf,cifar10/w1/20260521/10,input_concept_comp,0.0034,0.00325,True,0.6514537611568985,0.009526925586470218,0.008333333333333333,2.1739130434782608
20260521,1,10,random_basis_dnf,cifar10/w1/20260521/10,output_active,0.0034,0.00325,True,0.9372085748994333,0.02875332582671109,0.035,9.130434782608697
20260521,1,11,concept_class_error,cifar10/w1/20260521/11,sparse_internal,0.0038,0.003,True,0.8391169426489146,0.025990980506947238,0.021666666666666667,5.0
20260521,1,11,concept_class_error,cifar10/w1/20260521/11,output_comp,0.0038,0.003,True,0.8168602405294738,0.012418702429508618,0.013333333333333334,3.076923076923077
20260521,1,11,concept_class_error,cifar10/w1/20260521/11,input_concept_comp,0.0038,0.003,True,0.9352192835621025,0.16706076525801136,0.03666666666666667,8.461538461538462
20260521,1,11,concept_class_error,cifar10/w1/20260521/11,output_active,0.0038,0.003,True,0.6746542710720816,0.00809128653087167,0.008333333333333333,1.9230769230769231
