method,budget,cells,model_queries,mean_reference_rate,rmse,mae,mc_rmse,rmse_ratio_vs_mc,effective_mc_multiplier
sparse_internal,512,36,12,0.011841666666666665,0.003057374785838386,0.002200956209667233,0.005451681871881755,0.5608131321101965,3.179535298553286
output_active,512,36,12,0.011841666666666665,0.003198811247828148,0.002274967890602472,0.005451681871881755,0.5867567702962857,2.904582933102948
output_comp,512,36,12,0.011841666666666665,0.0032453815750682095,0.002065666909929033,0.005451681871881755,0.5952991482879764,2.8218211068763353
ase_output,512,36,12,0.011841666666666665,0.004625496139024048,0.003444821124550969,0.005451681871881755,0.8484530549886007,1.3891347145678903
random_stratified,512,36,12,0.011841666666666665,0.004839957126246567,0.0038508622317172275,0.005451681871881755,0.8877915549712663,1.2687556257346473
input_concept_comp,512,36,12,0.011841666666666665,0.005306988757490243,0.0035550178319409573,0.005451681871881755,0.9734589952620312,1.055272631471261
mc,512,36,12,0.011841666666666665,0.005451681871881755,0.0038042534722221946,0.005451681871881755,1.0,1.0
output_comp,2048,36,12,0.011841666666666665,0.0015235996019293961,0.0010664757455433643,0.0019527259444762557,0.7802424125306757,1.6426343179667957
sparse_internal,2048,36,12,0.011841666666666665,0.001893290652283267,0.001352649843432198,0.0019527259444762557,0.9695629116000044,1.0637706692538715
output_active,2048,36,12,0.011841666666666665,0.001938937615761922,0.0014675784104748314,0.0019527259444762557,0.9929389330062741,1.0142731307459019
mc,2048,36,12,0.011841666666666665,0.0019527259444762557,0.0013762369791666166,0.0019527259444762557,1.0,1.0
input_concept_comp,2048,36,12,0.011841666666666665,0.002038962849374504,0.0014073202757811842,0.0019527259444762557,1.0441623183950568,0.9171998334992362
ase_output,2048,36,12,0.011841666666666665,0.0023535574698012422,0.001604663677698832,0.0019527259444762557,1.2052676805256943,0.6883875036356292
random_stratified,2048,36,12,0.011841666666666665,0.00279766932877107,0.0018499007274672312,0.0019527259444762557,1.4326994203589782,0.4871804246540067
