basis,method,budget,observed_queries,build_labels,method_rmse,same_budget_mc_rmse_theory,ratio_vs_same_budget_mc_theory,ratio_at_observed_queries,break_even_queries_extrapolated,labels_per_query_at_break_even
global,ase_output,64,12,0,0.016196650666448792,0.009528281721551717,1.6998501030688569,1.6998501030688569,,
global,ase_output,128,12,0,0.007723315800398024,0.006715778650061436,1.1500253660574966,1.1500253660574966,,
global,ase_output,256,12,0,0.004966130462381678,0.004717885970676192,1.052617738802599,1.052617738802599,,
global,ase_output,512,12,0,0.006761006558959505,0.003291934174637207,2.053809766625912,2.053809766625912,,
global,ase_output,1024,12,0,0.00287549277892496,0.002264071973031093,1.2700536083556166,1.2700536083556166,,
global,ase_output,2048,12,0,0.0017648137252304075,0.001506856842412439,1.1711887125289129,1.1711887125289129,,
global,embedding_ase,64,12,0,0.011565774042019247,0.009528281721551717,1.2138362802454707,1.2138362802454707,,
global,embedding_ase,128,12,0,0.009973759208680946,0.006715778650061436,1.4851232788307738,1.4851232788307738,,
global,embedding_ase,256,12,0,0.004785047258329956,0.004717885970676192,1.0142354622538998,1.0142354622538998,,
global,embedding_ase,512,12,0,0.004802236348212389,0.003291934174637207,1.4587886918308832,1.4587886918308832,,
global,embedding_ase,1024,12,0,0.002968540838072637,0.002264071973031093,1.3111512679070954,1.3111512679070954,,
global,embedding_ase,2048,12,0,0.0018446528552422544,0.001506856842412439,1.2241725977691502,1.2241725977691502,,
global,embedding_comp,64,12,6000,0.012261984953389262,0.009528281721551717,1.2869041146898783,3.9201941818827732,,
global,embedding_comp,128,12,6000,0.00680442451328847,0.006715778650061436,1.0131996404059898,2.3033307067463418,,
global,embedding_comp,256,12,6000,0.005672140453655923,0.004717885970676192,1.202263151104299,2.1211878003904543,,
global,embedding_comp,512,12,6000,0.00306041874450861,0.003291934174637207,0.929671913882023,1.3428910911187832,80.0,587.0
global,embedding_comp,1024,12,6000,0.00232728850100061,0.002264071973031093,1.0279216070524844,1.290471590895127,,
global,embedding_comp,2048,12,6000,0.001534993646234554,0.001506856842412439,1.0186725128958294,1.1737377857305051,,
global,input_concept_comp,64,12,6000,0.0059703385474867005,0.009528281721551717,0.6265913122596471,1.908735537247467,62.0,160.7741935483871
global,input_concept_comp,128,12,6000,0.004609445251981056,0.006715778650061436,0.6863605089096987,1.560319578712327,43.0,267.5348837209302
global,input_concept_comp,256,12,6000,0.0027895881168105837,0.004717885970676192,0.5912792581569676,1.0432111704284213,14.0,684.5714285714286
global,input_concept_comp,512,12,6000,0.0025033100216903486,0.003291934174637207,0.7604374476795941,1.0984355433282702,18.0,845.3333333333333
global,input_concept_comp,1024,12,6000,0.0016859293488492976,0.002264071973031093,0.7446447678923431,0.9348406645806601,9.0,1690.6666666666665
global,input_concept_comp,2048,12,6000,0.0012478857023185128,0.001506856842412439,0.8281381928230687,0.9541997810069607,9.0,2714.6666666666665
