basis,method,budget,point_break_even_queries,finite_boot_fraction,break_even_q05,break_even_q50,break_even_q95
saelens_sae,internal,64,382.0,0.707,26.60000000000001,135.0,1669.1999999999962
saelens_sae,internal,128,35.0,1.0,13.0,30.5,116.0
saelens_sae,internal,256,24.0,0.999,9.0,23.0,73.0
saelens_sae,internal,512,13.0,1.0,7.0,13.0,25.0
saelens_sae,internal,1024,38.0,0.696,5.0,16.0,156.25
saelens_sae,internal,2048,35.0,0.706,4.0,14.0,152.75
sklearn_sdl,internal,64,83.0,0.997,33.0,75.0,240.1999999999996
sklearn_sdl,internal,128,29.0,1.0,13.0,27.0,64.04999999999995
sklearn_sdl,internal,256,53.0,0.926,13.0,44.5,387.25
sklearn_sdl,internal,512,11.0,0.991,5.0,11.0,49.5
sklearn_sdl,internal,1024,10.0,0.967,4.0,9.0,44.69999999999993
sklearn_sdl,internal,2048,8.0,0.878,2.0,6.0,53.299999999999955
spd,internal,64,,0.542,42.05,164.0,2089.799999999997
spd,internal,128,41.0,1.0,19.950000000000003,41.0,77.0
spd,internal,256,14.0,1.0,7.0,13.0,34.0
spd,internal,512,27.0,0.918,8.0,23.0,154.0
spd,internal,1024,20.0,0.815,4.0,13.0,137.0
spd,internal,2048,10.0,0.889,3.0,9.0,78.59999999999991
