method,budget,cells,model_queries,mean_reference_rate,rmse,mae,mc_rmse,rmse_ratio_vs_mc,effective_mc_multiplier
input_concept_comp,64,12,12,0.0059,0.0059703385474867005,0.004219342274932783,0.007571300740784485,0.7885485931533734,1.6082111821021736
output_comp,64,12,12,0.0059,0.0061278818359618535,0.0041497613088237245,0.007571300740784485,0.8093565485984018,1.526582325925848
pca_comp,64,12,12,0.0059,0.0064307521955299365,0.004217195947303552,0.007571300740784485,0.8493589695743121,1.3861730309252924
random_comp,64,12,12,0.0059,0.007154643212389282,0.005316607896653278,0.007571300740784485,0.9449688312933093,1.1198633507242644
mc,64,12,12,0.0059,0.007571300740784485,0.0061671296296296205,0.007571300740784485,1.0,1.0
output_active,64,12,12,0.0059,0.008054892202172342,0.005605863380873036,0.007571300740784485,1.0638716487357165,0.8835304651172909
per_query_rf,64,12,12,0.0059,0.011187255712204051,0.004518262035850193,0.007571300740784485,1.4775870217308136,0.4580299366953145
embedding_ase,64,12,12,0.0059,0.011565774042019247,0.007838989679368255,0.007571300740784485,1.5275808527480157,0.4285402195148608
random_stratified,64,12,12,0.0059,0.011699186699329131,0.007977848742291,0.007571300740784485,1.545201689890467,0.4188221589129402
embedding_comp,64,12,12,0.0059,0.01226198495338926,0.003916681653492466,0.007571300740784485,1.619534789753809,0.38125841378081715
ase_output,64,12,12,0.0059,0.016196650666448792,0.009397020654698931,0.007571300740784485,2.1392163937171262,0.21851968398132485
per_query_rf,128,12,12,0.0059,0.003978407953656853,0.002838607040757671,0.007975749014228196,0.49881308282891584,4.019058510476357
input_concept_comp,128,12,12,0.0059,0.004609445251981058,0.0031202540333524977,0.007975749014228196,0.5779325858622331,2.993957530827951
output_active,128,12,12,0.0059,0.005044340664486817,0.003473394210122141,0.007975749014228196,0.6324598047767118,2.499966221342677
random_comp,128,12,12,0.0059,0.005289743246622023,0.0036811922946787187,0.007975749014228196,0.6632283986350974,2.273389093720315
pca_comp,128,12,12,0.0059,0.00543073905871381,0.0033148679426724553,0.007975749014228196,0.6809064639604054,2.156875542858303
embedding_comp,128,12,12,0.0059,0.00680442451328847,0.003200531642330295,0.007975749014228196,0.8531392476305156,1.3739159229203224
ase_output,128,12,12,0.0059,0.007723315800398024,0.005887910917938367,0.007975749014228196,0.9683499050208515,1.0664374098630396
random_stratified,128,12,12,0.0059,0.0077446341113478895,0.005636793271892531,0.007975749014228196,0.9710227964209991,1.0605744204275414
mc,128,12,12,0.0059,0.007975749014228196,0.005380092592592578,0.007975749014228196,1.0,1.0
output_comp,128,12,12,0.0059,0.008306983284375853,0.004089463571420445,0.007975749014228196,1.0415301772356123,0.9218415617032018
embedding_ase,128,12,12,0.0059,0.009973759208680944,0.00727740475680708,0.007975749014228196,1.2505106656300786,0.6394773986660478
per_query_rf,256,12,12,0.0059,0.0023738626821954625,0.0016874284123614997,0.004697319575876935,0.5053653778181123,3.91551623592983
pca_comp,256,12,12,0.0059,0.002504713816822396,0.0018995746258585594,0.004697319575876935,0.533221931436248,3.5170941376451537
input_concept_comp,256,12,12,0.0059,0.0027895881168105837,0.0021313011138876007,0.004697319575876935,0.5938680713010249,2.8354372921290185
output_comp,256,12,12,0.0059,0.003536959256316989,0.002390859964934163,0.004697319575876935,0.7529739459246139,1.7637624875851334
output_active,256,12,12,0.0059,0.004120723685387037,0.0027392345358867053,0.004697319575876935,0.8772500186167865,1.299431013318583
random_comp,256,12,12,0.0059,0.004477009222650371,0.0030366002895000506,0.004697319575876935,0.9530987088130075,1.1008400911274694
random_stratified,256,12,12,0.0059,0.004581685404882786,0.003314223764303239,0.004697319575876935,0.9753829457148312,1.0511136703526214
mc,256,12,12,0.0059,0.004697319575876935,0.0035976851851851643,0.004697319575876935,1.0,1.0
embedding_ase,256,12,12,0.0059,0.004785047258329956,0.0037576772644262965,0.004697319575876935,1.0186761153964372,0.9636686993083533
ase_output,256,12,12,0.0059,0.004966130462381678,0.0037909312141887145,0.004697319575876935,1.057226442051169,0.8946722493056379
embedding_comp,256,12,12,0.0059,0.005672140453655923,0.002676898907164003,0.004697319575876935,1.2075270507003988,0.6858138683146314
per_query_rf,512,12,12,0.0059,0.001544822860215448,0.0012037224123288203,0.0029664424359069847,0.5207661680928999,3.687350960044413
pca_comp,512,12,12,0.0059,0.001829960325122997,0.0013350107773370719,0.0029664424359069847,0.6168871854624375,2.6277769718529727
output_comp,512,12,12,0.0059,0.002478150438733721,0.0016553891171789863,0.0029664424359069847,0.835394750539304,1.432902090137456
input_concept_comp,512,12,12,0.0059,0.002503310021690349,0.0018310675984894243,0.0029664424359069847,0.8438761498923091,1.4042439919920555
random_comp,512,12,12,0.0059,0.00265163312266136,0.0020433622163932587,0.0029664424359069847,0.8938764799764697,1.2515407069108089
mc,512,12,12,0.0059,0.0029664424359069847,0.002292795138888862,0.0029664424359069847,1.0,1.0
embedding_comp,512,12,12,0.0059,0.00306041874450861,0.0018504674682242336,0.0029664424359069847,1.03167980186101,0.9395289007103
output_active,512,12,12,0.0059,0.003062037112531632,0.0018981377974794194,0.0029664424359069847,1.0322253604073122,0.9385360311528911
random_stratified,512,12,12,0.0059,0.0034707269844433523,0.0026817763646558163,0.0029664424359069847,1.1699964045930267,0.7305180407795722
embedding_ase,512,12,12,0.0059,0.004802236348212389,0.003065749556492889,0.0029664424359069847,1.6188537118011237,0.3815792844326863
ase_output,512,12,12,0.0059,0.006761006558959505,0.003307544392125307,0.0029664424359069847,2.279163241842021,0.19250815686504036
per_query_rf,1024,12,12,0.0059,0.0013313405939378983,0.0009537722229403869,0.0023144039041394543,0.5752412496179744,3.022038256943571
output_comp,1024,12,12,0.0059,0.00148764863450387,0.0010829738675892403,0.0023144039041394543,0.6427783118768157,2.420346644731868
