pair_rank,source_class,source_class_name,target_class,target_class_name,component,source_count,predicted_target_logit_delta,base_target_rate,plus_target_rate,minus_target_rate,base_error_rate,plus_error_rate,minus_error_rate,target_rate_change_plus,target_rate_change_minus,basis_kind,seed,dictionary_seed
0,4,deer,7,horse,12,500,0.7746428184973908,0.312,0.43,0.172,0.598,0.724,0.47,0.118,-0.14,sklearn_sdl,20260521,0
1,0,airplane,8,ship,7,504,1.0081244440884383,0.16666666666666666,0.3531746031746032,0.05555555555555555,0.3194444444444444,0.5317460317460317,0.17063492063492064,0.18650793650793654,-0.1111111111111111,sklearn_sdl,20260521,0
2,5,dog,3,cat,7,521,0.6892959908639006,0.1324376199616123,0.2476007677543186,0.061420345489443376,0.3781190019193858,0.4491362763915547,0.3666026871401152,0.11516314779270631,-0.07101727447216892,sklearn_sdl,20260521,0
3,9,truck,1,automobile,20,481,0.8836846164272467,0.1288981288981289,0.2806652806652807,0.056133056133056136,0.2079002079002079,0.367983367983368,0.11642411642411643,0.15176715176715178,-0.07276507276507277,sklearn_sdl,20260521,0
4,5,dog,7,horse,11,521,0.4794963953667308,0.11324376199616124,0.16314779270633398,0.08253358925143954,0.3781190019193858,0.43570057581573896,0.33013435700575816,0.04990403071017274,-0.030710172744721695,sklearn_sdl,20260521,0
5,8,ship,0,airplane,35,520,0.41226443730744095,0.1,0.12884615384615383,0.057692307692307696,0.2076923076923077,0.24615384615384617,0.1596153846153846,0.028846153846153827,-0.04230769230769231,sklearn_sdl,20260521,0
0,4,deer,7,horse,35,500,0.8768594991850098,0.312,0.542,0.136,0.598,0.716,0.534,0.23000000000000004,-0.176,saelens_sae,20260521,0
1,0,airplane,8,ship,29,504,0.8118775306206587,0.16666666666666666,0.3373015873015873,0.057539682539682536,0.3194444444444444,0.47023809523809523,0.22420634920634921,0.17063492063492067,-0.10912698412698413,saelens_sae,20260521,0
2,5,dog,3,cat,46,521,0.5322230149885105,0.1324376199616123,0.18809980806142035,0.09980806142034548,0.3781190019193858,0.472168905950096,0.30326295585412666,0.05566218809980805,-0.03262955854126681,saelens_sae,20260521,0
3,9,truck,1,automobile,16,481,1.2122118504492116,0.1288981288981289,0.34511434511434513,0.037422037422037424,0.2079002079002079,0.41372141372141374,0.11642411642411643,0.21621621621621623,-0.09147609147609148,saelens_sae,20260521,0
4,5,dog,7,horse,35,521,0.8692313742083029,0.11324376199616124,0.2456813819577735,0.046065259117082535,0.3781190019193858,0.42226487523992323,0.3838771593090211,0.13243761996161227,-0.0671785028790787,saelens_sae,20260521,0
5,8,ship,0,airplane,42,520,0.8603207890439545,0.1,0.20576923076923076,0.032692307692307694,0.2076923076923077,0.3038461538461538,0.1423076923076923,0.10576923076923075,-0.06730769230769232,saelens_sae,20260521,0
0,4,deer,7,horse,42,500,1.408055305480957,0.312,0.336,0.122,0.598,0.886,0.324,0.02400000000000002,-0.19,spd,20260521,0
1,0,airplane,8,ship,22,504,1.6282178163528442,0.16666666666666666,0.47023809523809523,0.015873015873015872,0.3194444444444444,0.6071428571428571,0.18253968253968253,0.3035714285714286,-0.15079365079365079,spd,20260521,0
2,5,dog,3,cat,19,521,1.6815111637115479,0.1324376199616123,0.3550863723608445,0.02495201535508637,0.3781190019193858,0.6084452975047985,0.28598848368522073,0.2226487523992322,-0.10748560460652593,spd,20260521,0
3,9,truck,1,automobile,44,481,1.1153537034988403,0.1288981288981289,0.3201663201663202,0.0395010395010395,0.2079002079002079,0.40124740124740127,0.10810810810810811,0.19126819126819128,-0.0893970893970894,spd,20260521,0
4,5,dog,7,horse,11,521,2.9045931100845337,0.11324376199616124,0.5143953934740882,0.005758157389635317,0.3781190019193858,0.6775431861804223,0.32437619961612285,0.401151631477927,-0.10748560460652593,spd,20260521,0
5,8,ship,0,airplane,40,520,1.61488938331604,0.1,0.36346153846153845,0.0057692307692307696,0.2076923076923077,0.4269230769230769,0.14807692307692308,0.2634615384615384,-0.09423076923076923,spd,20260521,0
