seed,dictionary_seed,query,family,select_rate,uses_basis,uses_concept,signature,description
20260521,0,0,concept_class_error,0.0095,False,True,"[[{""concept"": 2, ""kind"": ""concept"", ""threshold"": 0.0, ""values"": []}, {""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [6]}, {""concept"": -1, ""kind"": ""error"", ""threshold"": 0.0, ""values"": []}]]",(image concept: edge_high AND label in {frog} AND model error)
20260521,0,1,output_fp,0.005625,False,False,"[[{""concept"": -1, ""kind"": ""pred_in"", ""threshold"": 0.0, ""values"": [1]}, {""concept"": -1, ""kind"": ""label_not_in"", ""threshold"": 0.0, ""values"": [1]}, {""concept"": -1, ""kind"": ""confidence_gt"", ""threshold"": 0.7, ""values"": []}]]",(prediction in {automobile} AND label not in {automobile} AND confidence > 0.70)
20260521,0,2,concept_class_error,0.01725,False,True,"[[{""concept"": 6, ""kind"": ""concept"", ""threshold"": 0.0, ""values"": []}, {""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [3]}, {""concept"": -1, ""kind"": ""error"", ""threshold"": 0.0, ""values"": []}]]",(image concept: bottom_heavy AND label in {cat} AND model error)
20260521,0,3,class_confusion,0.001125,False,False,"[[{""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [6]}, {""concept"": -1, ""kind"": ""pred_in"", ""threshold"": 0.0, ""values"": [9]}]]",(label in {frog} AND prediction in {truck})
20260521,0,4,output_fp,0.00125,False,False,"[[{""concept"": -1, ""kind"": ""pred_in"", ""threshold"": 0.0, ""values"": [9]}, {""concept"": -1, ""kind"": ""label_not_in"", ""threshold"": 0.0, ""values"": [9]}, {""concept"": -1, ""kind"": ""confidence_gt"", ""threshold"": 0.85, ""values"": []}]]",(prediction in {truck} AND label not in {truck} AND confidence > 0.85)
20260521,0,5,output_fp,0.002125,False,False,"[[{""concept"": -1, ""kind"": ""pred_in"", ""threshold"": 0.0, ""values"": [3]}, {""concept"": -1, ""kind"": ""label_not_in"", ""threshold"": 0.0, ""values"": [3]}, {""concept"": -1, ""kind"": ""confidence_gt"", ""threshold"": 0.7, ""values"": []}]]",(prediction in {cat} AND label not in {cat} AND confidence > 0.70)
20260521,0,6,concept_class_error,0.005875,False,True,"[[{""concept"": 1, ""kind"": ""concept"", ""threshold"": 0.0, ""values"": []}, {""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [5]}, {""concept"": -1, ""kind"": ""error"", ""threshold"": 0.0, ""values"": []}]]",(image concept: brightness_high AND label in {dog} AND model error)
20260521,0,7,concept_class_error,0.004875,False,True,"[[{""concept"": 5, ""kind"": ""concept"", ""threshold"": 0.0, ""values"": []}, {""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [3]}, {""concept"": -1, ""kind"": ""error"", ""threshold"": 0.0, ""values"": []}]]",(image concept: top_heavy AND label in {cat} AND model error)
20260521,0,8,class_confusion,0.001375,False,False,"[[{""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [5]}, {""concept"": -1, ""kind"": ""pred_in"", ""threshold"": 0.0, ""values"": [0]}]]",(label in {dog} AND prediction in {airplane})
20260521,0,9,concept_class_error,0.0045,False,True,"[[{""concept"": 8, ""kind"": ""concept"", ""threshold"": 0.0, ""values"": []}, {""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [8]}, {""concept"": -1, ""kind"": ""error"", ""threshold"": 0.0, ""values"": []}]]",(image concept: right_heavy AND label in {ship} AND model error)
20260521,0,10,concept_class_error,0.009875,False,True,"[[{""concept"": 1, ""kind"": ""concept"", ""threshold"": 0.0, ""values"": []}, {""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [3]}, {""concept"": -1, ""kind"": ""error"", ""threshold"": 0.0, ""values"": []}]]",(image concept: brightness_high AND label in {cat} AND model error)
20260521,0,11,confidence_error,0.00775,False,False,"[[{""concept"": -1, ""kind"": ""label_in"", ""threshold"": 0.0, ""values"": [4]}, {""concept"": -1, ""kind"": ""confidence_gt"", ""threshold"": 0.7, ""values"": []}, {""concept"": -1, ""kind"": ""error"", ""threshold"": 0.0, ""values"": []}]]",(label in {deer} AND confidence > 0.70 AND model error)
